All stim.
[957, 958, 959, 960, 961, 962, 963, 964]
Reward stim.
[957, 959, 961, 963]
time,whichstim,iftouch,ifreward,ifout
1551654601.9555962,0,0,0,0
1551654601.9721994,0,0,0,0
1551654601.9882753,0,0,0,0
1551654602.004206,0,0,0,0
1551654602.0200996,0,0,0,0
1551654602.0362074,0,0,0,0
1551654602.0521774,0,0,0,0
1551654602.068079,0,0,0,0
1551654602.0841956,0,0,0,0
1551654602.1000674,0,0,0,0
1551654602.1160371,0,0,0,0
1551654602.132206,0,0,0,0
1551654602.1481328,0,0,0,0
1551654602.1640947,0,0,0,0
1551654602.1801252,0,0,0,0
1551654602.196103,0,0,0,0
1551654602.2121434,0,0,0,0
1551654602.2282271,0,0,0,0
1551654602.24418,0,0,0,0
1551654602.2600656,0,0,0,0
1551654602.2767205,0,0,0,0
1551654602.2927012,0,0,0,0
1551654602.3086135,0,0,0,0
1551654602.324569,0,0,0,0
1551654602.3405535,0,0,0,0
1551654602.3565161,0,0,0,0
1551654602.37248,0,0,0,0
1551654602.3883994,0,0,0,0
1551654602.405347,0,0,0,0
1551654602.4223206,0,0,0,0
1551654602.439193,0,0,0,0
1551654602.4550989,0,0,0,0
1551654602.4710593,0,0,0,0
1551654602.486916,0,0,0,0
1551654602.5030727,0,0,0,0
1551654602.503707,0,1,0,0
1551654602.5325813,958,1,0,0
1551654602.5490723,958,1,0,0
1551654602.5646107,958,1,0,0
1551654602.581084,958,1,0,0
1551654602.5964978,958,1,0,0
1551654602.6130133,958,1,0,0
1551654602.62927,958,1,0,0
1551654602.6454728,958,1,0,0
1551654602.6617563,958,1,0,0
1551654602.6779733,958,1,0,0
1551654602.694314,958,1,0,0
1551654602.7105997,958,1,0,0
1551654602.7269533,958,1,0,0
1551654602.7432911,958,1,0,0
1551654602.7586422,958,1,0,0
1551654602.774927,958,1,0,0
1551654602.7912476,958,1,0,0
1551654602.806506,958,1,0,0
1551654602.823007,958,1,0,0
1551654602.8393762,958,1,0,0
1551654602.8556857,958,1,0,0
1551654602.8720715,958,1,0,0
1551654602.887932,958,1,0,0
1551654602.9036539,958,1,0,0
1551654602.9201229,958,1,0,0
1551654602.9363213,958,1,0,0
1551654602.952846,958,1,0,0
1551654602.968992,958,1,0,0
1551654602.985202,958,1,0,0
1551654603.003451,958,1,0,0
1551654603.0197895,958,1,0,0
1551654603.0360608,958,1,0,0
1551654603.0516343,958,1,0,0
1551654603.0677316,958,1,0,0
1551654603.083879,958,1,0,0
1551654603.100294,958,1,0,0
1551654603.115544,958,1,0,0
1551654603.131732,958,1,0,0
1551654603.1479745,958,1,0,0
1551654603.164298,958,1,0,0
1551654603.1795757,958,1,0,0
1551654603.19624,958,1,0,0
1551654603.2122638,958,1,0,0
1551654603.2274244,958,1,0,0
1551654603.2436013,958,1,0,0
1551654603.2602367,958,1,0,0
1551654603.2754078,958,1,0,0
1551654603.2915175,958,1,0,0
1551654603.3080416,958,1,0,0
1551654603.3242059,958,1,0,0
1551654603.3394802,958,1,0,0
1551654603.3561602,958,1,0,0
1551654603.3713872,958,1,0,0
1551654603.3874736,958,1,0,0
1551654603.4040089,958,1,0,0
1551654603.420318,958,1,0,0
